species,island,site,vegzoneHumid,vegzoneTransition,vegzoneArid,microhabitat,Centroidsize,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28
achatellinus,SL,SL05-10,1,NA,NA,arboreal,23.66646285,0.125424428,0.03162943,-0.007282666,-0.002405846,-0.032198766,0.008140805,-0.019752206,-0.014603059,-0.005856389,-0.004201751,-0.011298957,0.024897248,0.008533701,0.002089775,0.007795999,0.003644232,-0.006813198,-0.003085633,0.00181999,0.002182051,0.001492235,-0.002350577,-0.001681933,0.004045532,-5.36753e-4,0.001733004,0.002013325,0.001029419
achatellinus,SL,SL05-10,1,NA,NA,arboreal,24.10508566,0.104106774,0.0282603,0.002523465,-3.50119e-4,-0.048591197,-0.028271704,-0.003994334,0.004725805,-0.021876319,-0.009485085,-9.07306e-4,0.01636474,0.00575127,-0.015219647,-0.00872462,-0.003709055,0.00773362,-0.004791565,-0.002315312,-0.003531563,0.008178786,-0.002836695,-0.001113321,0.001225382,-0.001745211,-0.004013115,9.1e-5,-4.62108e-4
adelphus,SC,SC14-16,NA,NA,1,terrestrial,24.6763505,-0.131328876,-0.003071168,-0.046848221,-0.007368022,0.007068308,0.014316054,-0.002017589,-0.00218989,-0.012876086,0.003649759,-0.0077365690000000004,-0.011752877,2.55e-5,0.002808051,0.001721484,-0.005913452,0.002432433,-0.006092367,0.004109592,-5.61496e-4,4.57137e-4,0.001155813,0.001438576,-2.41786e-4,0.004457893,-5.27481e-4,0.00214041,-5.18479e-4
adelphus,SC,SC14-16,NA,NA,1,terrestrial,27.97077028,-0.066363329,-0.028808592,-0.031491905,0.027307586,0.002064734,0.029758256,0.008499406,0.009488052,0.001799715,-0.01054358,-0.003710407,-0.011593705,0.004840683,0.001931587,-0.002549318,-0.002395089,0.001714312,-0.001689059,0.001274513,0.003387008,0.001567691,6.12e-5,-0.005311777,-4.41436e-4,0.001863231,-2.77223e-4,7.59673e-4,5.12166e-4
adelphus,SC,SC14-16,NA,NA,1,terrestrial,24.1777793,-0.128114723,-0.005693151,-0.0404721,0.024777269,0.020033662,5.85481e-4,0.015932179,0.008997599,-0.007029088,-0.003602407,-0.002579024,-0.015479491,4.53317e-4,-0.007653593,1.8e-5,-0.001491703,0.001661807,-0.002431326,0.003695024,8.72276e-4,7.72676e-4,4.52355e-4,6.06e-5,0.001601279,4.45851e-4,6.44231e-4,7.05917e-4,-6.16e-5
adelphus,SC,SC14-16,NA,NA,1,terrestrial,23.55316019,-0.149759515,-0.007451999,-0.047321636,0.012973198,0.035235068,6.00233e-4,0.012250810000000001,0.008473949,-0.006502276,-0.011658963,8.60154e-4,-0.006153485,-0.002787281,-0.004428903,-0.003855194,2.79776e-4,0.002501371,0.001538103,0.003137349,-0.002595084,-0.001527416,-0.002754947,8.38e-5,-4.6136e-4,8.29698e-4,0.001365911,2.82119e-4,1.69179e-4
adelphus,SC,SC14-16,NA,NA,1,terrestrial,23.19188144,-0.109726263,-0.018243508,-0.025548852,0.009927333,0.018788745,-0.004620838,0.009777107,-9.51904e-4,-0.005615078,-0.007925802,0.00253674,-0.002586663,0.006390441,-0.001724723,0.003791306,-0.004900463,0.001640494,-5.10435e-4,0.004136062,0.003415497,3.79919e-4,-0.001852471,-3.35262e-4,8.12455e-4,4.2e-5,3.53482e-4,9.23e-5,-3.7e-5
adelphus,SC,SC14-16,NA,NA,1,terrestrial,25.80201883,-0.127349268,0.008533421,-0.057797631,-0.002791593,0.01338983,0.016570234,0.007706415,-6.42181e-4,-0.003716466,0.003331437,-0.005823737,-0.010937465,-5.35875e-4,-0.004960153,0.0035514,-0.002200194,0.001521782,-0.001880126,0.004201348,1.51816e-4,-0.001972851,-0.004703875,0.003511028,0.002113734,0.002613372,9.96052e-4,2.71181e-4,4.33255e-4
adelphus,SC,SC14-16,NA,NA,1,terrestrial,25.00442224,-0.103880951,0.012909629,-0.024357914,0.001242497,0.01094151,0.004663758,-1.74061e-4,-8.72801e-4,-0.014012144,0.006749595,-0.004997873,-8.08436e-4,-0.001762513,-0.003462539,0.003950487,-0.002233157,0.004433923,-0.002431564,0.001642531,-4.82099e-4,0.00134141,0.001657189,0.001348513,-6.85936e-4,7.11355e-4,-5.56905e-4,0.001092578,-1.42494e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.95318553,-0.086401535,-0.015267495,-0.021857138,0.011764455,2.19397e-4,0.022943935,-0.008241676,0.018070211,-0.006553034,-0.007027232,-0.014316662,-3.6e-6,1.28714e-4,-0.001746873,0.002703968,-2.54997e-4,0.003709565,1.13321e-4,0.003456131,-9.94813e-4,-0.003634523,-0.001767359,-0.001366287,-0.002033438,6.36334e-4,-1.61852e-4,-4.08306e-4,4.22615e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,23.92040073,-0.116510294,-0.001181991,-0.036451299,0.019614152,0.037517935,0.0163997,0.001540637,-0.004585999,-0.006687623,-0.003445216,-0.011348355,-0.005851812,-0.006568317,-3.96536e-4,0.001765132,0.001257444,0.007438668,0.003812972,-4.11422e-4,0.00339149,2.53703e-4,-0.001680583,0.001386871,-7.20597e-4,-3.0319e-4,-0.001469858,-9.57e-5,-3.05871e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.43676627,-0.120853267,-0.006445762,-0.051988395,0.009038423,-0.002293982,0.019046331,-0.014100907,0.009346301,0.002245301,-0.002101076,0.002116246,-0.002131873,7.19e-5,-0.006802026,0.004440287,-0.001803409,3.35959e-4,-0.009556715,0.00254789,3.33619e-4,-0.002723767,-3.01463e-4,-0.001752629,-0.001153586,-1.35412e-4,0.002586195,-3.08518e-4,3.38818e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.59131064,-0.093481444,-0.017618874,-0.035388459,0.0170267,-7.82955e-4,0.021126648,-0.007172688,0.013261918,-0.001117738,0.002138071,-0.008351088,-0.005116642,-0.004881204,0.005623123,0.002534867,-0.002838398,0.006275311,-0.003710871,0.001345198,0.004572223,-4.34757e-4,-8.55637e-4,-0.003214619,-9.15411e-4,6.54661e-4,1.57302e-4,7.58131e-4,1.96395e-4
